0	8650
0.0333333	8400
0.0666667	8400
0.1	8250
0.133333	8550
0.166667	8250
0.2	8300
0.233333	7900
0.266667	8050
0.3	8150
0.333333	8050
0.366667	8000
0.4	7800
0.433333	7650
0.466667	7100
0.5	7050
0.533333	7250
0.566667	6950
0.6	7200
0.633333	6650
0.666667	6550
0.7	6100
0.733333	5850
0.766667	5300
0.8	5150
0.833333	5000
0.866667	5050
0.9	5100
0.933333	4900
0.966667	4500
1	4450
1.03333	4200
1.06667	4250
1.1	4150
1.13333	4300
1.16667	4100
1.2	4000
1.23333	3850
1.26667	3800
1.3	3650
1.33333	3150
1.36667	3000
1.4	3050
1.43333	3050
1.46667	2850
1.5	2700
1.53333	2450
1.56667	2200
1.6	2050
1.63333	2000
1.66667	1850
1.7	1700
1.73333	1650
1.76667	1450
1.8	1450
1.83333	1550
1.86667	1450
1.9	1450
1.93333	1350
1.96667	1400
2	1400
2.03333	1400
2.06667	1350
2.1	1400
2.13333	1350
2.16667	1300
2.2	1200
2.23333	1050
2.26667	900
2.3	850
2.33333	800
2.36667	800
2.4	850
2.43333	750
2.46667	800
2.5	600
2.53333	500
2.56667	400
2.6	400
2.63333	450
2.66667	500
2.7	650
2.73333	650
2.76667	650
2.8	650
2.83333	700
2.86667	650
2.9	650
2.93333	600
2.96667	500
3	400
3.03333	350
3.06667	300
3.1	200
3.13333	200
3.16667	150
3.2	150
3.23333	200
3.26667	250
3.3	300
3.33333	300
3.36667	300
3.4	400
3.43333	400
3.46667	400
3.5	400
3.53333	400
3.56667	450
3.6	400
3.63333	400
3.66667	450
3.7	350
3.73333	350
3.76667	250
3.8	200
3.83333	200
3.86667	200
3.9	200
3.93333	150
3.96667	100
4	150
4.03333	150
4.06667	200
4.1	200
4.13333	200
4.16667	150
4.2	150
4.23333	150
4.26667	100
4.3	100
4.33333	100
4.36667	100
4.4	100
4.43333	50
4.46667	50
4.5	50
4.53333	50
4.56667	50
4.6	100
4.63333	100
4.66667	100
4.7	100
4.73333	100
4.76667	100
4.8	100
4.83333	100
4.86667	50
4.9	0
4.93333	50
4.96667	50
5	50
5.03333	100
5.06667	100
5.1	150
5.13333	150
5.16667	200
5.2	200
5.23333	300
5.26667	400
5.3	500
5.33333	550
5.36667	700
5.4	750
5.43333	700
5.46667	850
5.5	950
5.53333	1100
5.56667	1100
5.6	1200
5.63333	1300
5.66667	1500
5.7	1500
5.73333	1700
5.76667	1750
5.8	1900
5.83333	2200
5.86667	2300
5.9	2450
5.93333	2500
5.96667	2800
6	2900
6.03333	2900
6.06667	2950
6.1	3150
6.13333	3400
6.16667	3400
6.2	3350
6.23333	3350
6.26667	3400
6.3	3400
6.33333	3500
6.36667	3500
6.4	3650
6.43333	3600
6.46667	3850
6.5	3900
6.53333	4000
6.56667	3950
6.6	4000
6.63333	4000
6.66667	4000
6.7	4400
6.73333	4350
6.76667	4550
6.8	4600
6.83333	4800
6.86667	4850
6.9	5000
6.93333	5050
6.96667	4900
7	4900
7.03333	4900
7.06667	4800
7.1	4950
7.13333	5200
7.16667	5400
7.2	5800
7.23333	5800
7.26667	6450
7.3	6750
7.33333	7100
7.36667	7650
7.4	8450
7.43333	8650
7.46667	9450
7.5	10000
7.53333	10650
7.56667	11550
7.6	12550
7.63333	12850
7.66667	14050
7.7	15050
7.73333	15500
7.76667	16050
7.8	16600
7.83333	17450
7.86667	18050
7.9	18500
7.93333	18900
7.96667	19200
8	20200
8.03333	20850
8.06667	21250
8.1	22300
8.13333	23250
8.16667	23600
8.2	24050
8.23333	24450
8.26667	25050
8.3	25550
8.33333	26450
8.36667	27000
8.4	27600
8.43333	28500
8.46667	28700
8.5	28500
8.53333	28750
8.56667	29100
8.6	29150
8.63333	29250
8.66667	30150
8.7	29750
8.73333	30150
8.76667	30050
8.8	30300
8.83333	29850
8.86667	29350
8.9	29150
8.93333	30250
8.96667	31400
9	31500
9.03333	31350
9.06667	31300
9.1	31850
9.13333	32400
9.16667	31800
9.2	32100
9.23333	33150
9.26667	33750
9.3	33750
9.33333	34050
9.36667	33850
9.4	33650
9.43333	33200
9.46667	32450
