0	16100
0.0333333	15950
0.0666667	15825
0.1	15400
0.133333	15100
0.166667	15175
0.2	13875
0.233333	14175
0.266667	14025
0.3	13400
0.333333	12900
0.366667	12450
0.4	11325
0.433333	11025
0.466667	11150
0.5	10825
0.533333	10375
0.566667	10375
0.6	10275
0.633333	10075
0.666667	9625
0.7	9050
0.733333	8600
0.766667	7875
0.8	7450
0.833333	7200
0.866667	6725
0.9	6200
0.933333	5825
0.966667	5925
1	5850
1.03333	5775
1.06667	5525
1.1	5100
1.13333	4825
1.16667	4250
1.2	4000
1.23333	4125
1.26667	3900
1.3	3900
1.33333	3375
1.36667	3150
1.4	3175
1.43333	3025
1.46667	2875
1.5	2600
1.53333	2625
1.56667	2450
1.6	2475
1.63333	2450
1.66667	2300
1.7	2125
1.73333	2075
1.76667	2000
1.8	1825
1.83333	1775
1.86667	1725
1.9	1675
1.93333	1575
1.96667	1450
2	1350
2.03333	1300
2.06667	1300
2.1	1275
2.13333	1075
2.16667	1075
2.2	925
2.23333	1050
2.26667	1000
2.3	1075
2.33333	1100
2.36667	1200
2.4	1150
2.43333	1125
2.46667	1150
2.5	1200
2.53333	1050
2.56667	1000
2.6	900
2.63333	775
2.66667	750
2.7	650
2.73333	700
2.76667	625
2.8	550
2.83333	550
2.86667	550
2.9	550
2.93333	500
2.96667	525
3	425
3.03333	350
3.06667	325
3.1	300
3.13333	300
3.16667	300
3.2	225
3.23333	275
3.26667	250
3.3	250
3.33333	250
3.36667	200
3.4	225
3.43333	225
3.46667	250
3.5	250
3.53333	275
3.56667	300
3.6	275
3.63333	300
3.66667	275
3.7	250
3.73333	225
3.76667	200
3.8	150
3.83333	175
3.86667	175
3.9	150
3.93333	175
3.96667	175
4	175
4.03333	200
4.06667	225
4.1	200
4.13333	200
4.16667	200
4.2	200
4.23333	200
4.26667	150
4.3	150
4.33333	125
4.36667	125
4.4	125
4.43333	100
4.46667	50
4.5	25
4.53333	25
4.56667	0
4.6	25
4.63333	25
4.66667	50
4.7	75
4.73333	75
4.76667	75
4.8	100
4.83333	100
4.86667	100
4.9	75
4.93333	100
4.96667	100
5	100
5.03333	150
5.06667	100
5.1	450
5.13333	600
5.16667	700
5.2	1600
5.23333	1250
5.26667	1600
5.3	1550
5.33333	2475
5.36667	2500
5.4	3000
5.43333	2900
5.46667	2875
5.5	3425
5.53333	3375
5.56667	3500
5.6	3575
5.63333	4325
5.66667	4175
5.7	4425
5.73333	4500
5.76667	4350
5.8	5225
5.83333	5350
5.86667	6000
5.9	5975
5.93333	5300
5.96667	5575
6	5650
6.03333	5775
6.06667	6325
6.1	6425
6.13333	6675
6.16667	6750
6.2	7550
6.23333	7900
6.26667	8200
6.3	7700
6.33333	7725
6.36667	8075
6.4	9150
6.43333	8400
6.46667	8525
6.5	8075
6.53333	7825
6.56667	8175
6.6	8625
6.63333	8375
6.66667	8700
6.7	8050
6.73333	8425
6.76667	7850
6.8	8175
6.83333	7750
6.86667	8275
6.9	8725
6.93333	9325
6.96667	9125
7	8825
7.03333	9375
7.06667	9250
7.1	11400
7.13333	12225
7.16667	15200
7.2	16450
7.23333	17825
7.26667	19375
7.3	20900
7.33333	21100
7.36667	22825
7.4	24825
7.43333	27175
7.46667	28400
7.5	29500
7.53333	31925
7.56667	32025
7.6	33725
7.63333	33375
7.66667	35000
7.7	36400
7.73333	38925
7.76667	39300
7.8	40650
7.83333	43625
7.86667	43650
7.9	42675
7.93333	43775
7.96667	45825
8	44925
8.03333	46225
8.06667	47950
8.1	51975
8.13333	51775
8.16667	50775
8.2	52375
8.23333	54800
8.26667	53650
8.3	55575
8.33333	57925
8.36667	59825
8.4	58475
8.43333	59125
8.46667	60075
8.5	62050
8.53333	63650
8.56667	63500
8.6	63050
8.63333	63625
8.66667	65775
8.7	65425
8.73333	65600
8.76667	66950
8.8	66725
8.83333	65800
8.86667	67625
8.9	67425
8.93333	70275
8.96667	71025
9	71600
9.03333	72775
9.06667	74825
9.1	74700
9.13333	74975
9.16667	70500
9.2	70450
9.23333	69325
9.26667	67275
9.3	66400
9.33333	62375
9.36667	60250
9.4	57875
9.43333	56625
9.46667	54325
9.5	52600
9.53333	50775
9.56667	49725
9.6	47300
9.63333	45100
9.66667	44500
9.7	42875
9.73333	41425
9.76667	40225
9.8	37700
9.83333	36750
9.86667	36225
9.9	35975
9.93333	33975
9.96667	32025
10	29625
10.0333	29325
10.0667	28525
10.1	28575
10.1333	28850
10.1667	27875
10.2	25675
10.2333	25275
10.2667	24900
10.3	25700
10.3333	25500
10.3667	24550
10.4	23850
10.4333	22575
10.4667	22825
10.5	23850
10.5333	22100
10.5667	21125
10.6	20275
10.6333	19400
10.6667	19150
10.7	18500
10.7333	18050
10.7667	18100
10.8	17500
10.8333	17675
10.8667	17475
10.9	18300
10.9333	18375
10.9667	19400
11	18550
11.0333	18575
11.0667	18475
11.1	17325
11.1333	17275
11.1667	17600
11.2	17475
11.2333	18075
11.2667	17250
11.3	16750
11.3333	16950
11.3667	17075
11.4	16925
11.4333	17050
11.4667	16725
11.5	17200
11.5333	15650
11.5667	16075
11.6	15975
11.6333	15900
11.6667	16125
11.7	15775
11.7333	16400
11.7667	16300
11.8	16125
11.8333	17150
11.8667	16925
11.9	17625
11.9333	17525
11.9667	17550
12	18100
12.0333	18075
12.0667	17850
12.1	19650
12.1333	18700
12.1667	18575
12.2	19350
12.2333	19725
12.2667	18925
12.3	18950
12.3333	20200
12.3667	19725
12.4	20975
12.4333	21200
12.4667	21750
12.5	22450
12.5333	22975
12.5667	23725
